"Segment","Scores"
Champions,"555"
Champions,"554"
Champions,"544"
Champions,"545"
Champions,"454"
Champions,"455"
Champions,"445"
Loyal,"543"
Loyal,"444"
Loyal,"435"
Loyal,"355"
Loyal,"354"
Loyal,"345"
Loyal,"344"
Loyal,"335"
Potential Loyalists,"553"
Potential Loyalists,"551"
Potential Loyalists,"552"
Potential Loyalists,"541"
Potential Loyalists,"542"
Potential Loyalists,"533"
Potential Loyalists,"532"
Potential Loyalists,"531"
Potential Loyalists,"452"
Potential Loyalists,"451"
Potential Loyalists,"442"
Potential Loyalists,"441"
Potential Loyalists,"431"
Potential Loyalists,"453"
Potential Loyalists,"433"
Potential Loyalists,"432"
Potential Loyalists,"423"
Potential Loyalists,"353"
Potential Loyalists,"352"
Potential Loyalists,"351"
Potential Loyalists,"342"
Potential Loyalists,"341"
Potential Loyalists,"333"
Potential Loyalists,"323"
New Customers,"512"
New Customers,"511"
New Customers,"422"
New Customers,"421"
New Customers,"412"
New Customers,"411"
New Customers,"311"
Promising,"525"
Promising,"524"
Promising,"523"
Promising,"522"
Promising,"521"
Promising,"515"
Promising,"514"
Promising,"513"
Promising,"425"
Promising,"424"
Promising,"413"
Promising,"414"
Promising,"415"
Promising,"315"
Promising,"314"
Promising,"313"
Need Attention,"535"
Need Attention,"534"
Need Attention,"443"
Need Attention,"434"
Need Attention,"343"
Need Attention,"334"
Need Attention,"325"
Need Attention,"324"
About To Sleep,"331"
About To Sleep,"321"
About To Sleep,"312"
About To Sleep,"221"
About To Sleep,"213"
About To Sleep,"231"
About To Sleep,"241"
About To Sleep,"251"
At Risk,"255"
At Risk,"254"
At Risk,"245"
At Risk,"244"
At Risk,"253"
At Risk,"252"
At Risk,"243"
At Risk,"242"
At Risk,"235"
At Risk,"234"
At Risk,"225"
At Risk,"224"
At Risk,"153"
At Risk,"152"
At Risk,"145"
At Risk,"143"
At Risk,"142"
At Risk,"135"
At Risk,"134"
At Risk,"133"
At Risk,"125"
At Risk,"124"
Cannot Lose Them,"155"
Cannot Lose Them,"154"
Cannot Lose Them,"144"
Cannot Lose Them,"214"
Cannot Lose Them,"215"
Cannot Lose Them,"115"
Cannot Lose Them,"114"
Cannot Lose Them,"113"
Hibernating customers,"332"
Hibernating customers,"322"
Hibernating customers,"233"
Hibernating customers,"232"
Hibernating customers,"223"
Hibernating customers,"222"
Hibernating customers,"132"
Hibernating customers,"123"
Hibernating customers,"122"
Hibernating customers,"212"
Hibernating customers,"211"
Lost customers,"111"
Lost customers,"112"
Lost customers,"121"
Lost customers,"131"
Lost customers,"141"
Lost customers,"151"
